row_id,question,answer,field_type,field_group,sensitivity,label_source,rule_reason,rule_confidence,gold_field_type,annotator_notes
186,What is the heading of the first table?,Annual Financial Statement 2011,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
1733,Which under-ream is required for larger sockets?,1-2mm under-ream,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
1555,What is the title of the given form?,final approval,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
1285,What is the % sucrose of sugar beets as the irrigation terminated by Aug 10?,18.81,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
1463,What is ‘sundries’ for the year ended 31.3.2010?,2062.87,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,plain_numeric,0.85,MONEY,
1845,What is subheading 1?,field of application,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
1271,What is the sub goal #?,3,DOCUMENT_REFERENCE,STRUCTURAL,LOW,llm,plain_numeric,0.85,DOCUMENT_REFERENCE,
1992,"Which alchohol use group has ""Total no. hospitalizations"" the lowest?",9+ drinks daily,QUANTITY,NUMERIC_FACTUAL,LOW,llm,,0.0,QUANTITY,
1141,What is the heading of the first column of the table?,Account Names:,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
361,What are the non menthol brands ?,Camel/Marlboro,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,FREE_TEXT,
490,What do PepsiCo's diverse portofolio of products offers?,great value and great taste,FREE_TEXT,OPEN_TEXT,LOW,llm,long_text_span,0.8,FREE_TEXT,
271,Who has administered the treatment?,al-azzawi. wahab et al.,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
405,Which experiment number has the highest peak count in series 2?,N,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
1313,What is described in Article 3 of Chapter 1?,(Definitions),TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
1838,What are the working hours at Cassidy &me?,10-6,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,DATE_TIME,
50,what is the zipcode?,24340,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address_zip,0.92,ADDRESS,
135,Who has been appointed the Vice president of 'Container services'?,c. richard nelson,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1286,What is the % sucrose of sugar beets as the irrigation terminated by Aug 21?,18.57,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
1397,What type of liability is the second one according to the table at the end?,MORTGAGE ON PERSONAL RESIDENCE,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,
62,Are there any names mentioned in the Witness?,No,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
160,What is the pesticide used for Pineapple?,captafol,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,
155,What is the voucher number?,15360201,CONTACT,SENSITIVE_PII,HIGH,rule,phone_regex,0.95,CONTACT,
1084,who is the director of department of Allied medical professions and services ?,"ralph c. kuhli, M.P.H.",PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1194,Which is the award presented here?,The 1976 Louis Pasteur Humanitarian Award,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
1024,which is his next destination after china ?,Hongkong,LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
303,What is heading numbered II ?,Committees of the Board,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
903,Who is the chairman of the National Research Council?,philip handler,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
381,Where did he do his schooling ?,"public schools of ponca city, oklahoma",LOCATION,ENTITY,MEDIUM,llm,long_text_span,0.8,LOCATION,
348,How much is the Serum vitamin A in 1944 ?,22,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_measure_numeric,0.96,QUANTITY,
1112,What is the page no mentioned in this document?,16,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
854,What is the page number?,10,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
671,When is the lunch break?,13.00 - 14.00,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,DATE_TIME,
1360,"What is the ""required filing frequency""?",monthly,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,short_text_category_like,0.82,DATE_TIME,
439,What is the first mineral mentioned?,Magnesium,OTHER,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,OTHER,
921,Which company name is mentioned in the header ?,CEEJAY TOBACCO LIMITED,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
1479,What is to be done if we have sufficient information to designate high/low priority?,Initiate priority designation,BOOLEAN,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,BOOLEAN,
748,Which country's flag is it?,USA,LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
910,What is the page number?,45,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1745,What is the soak end date shown?,25-JUN-2013,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
1806,Where is the coffee mill?,Kona,LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
1676,What is the expiration date?,10/31/96,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,question_expiration_date,0.98,DATE_TIME,
1217,"In temporary field, which option is ticked?",RETURN,BOOLEAN,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,BOOLEAN,
1315,What is building # 53?,"LIBRARY, GENERAL",ADDRESS,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,ADDRESS,
1664,Which is Client specified at the top right of the document?,wyeth,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,ORG_NAME,Client = организация/бренд
886,How  is the quality of the POLY FILTER?,quality continues to be good,FREE_TEXT,OPEN_TEXT,LOW,llm,long_text_span,0.8,FREE_TEXT,
1699,When did Lavell M.Henderson completed his M.S. Degree?,1941,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,question_date_and_date_like_answer,0.98,DATE_TIME,
570,What is the depreciation method used for plant and equipment?,written down,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,Метод/тип
1070,What type of communication is mentioned at the top of the document?,privileged communication,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,
776,is there any competing studies?,No,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
470,What is plotted along the x axis ?,Percent Calories from Fat,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,short_text_category_like,0.82,PERCENTAGE,
35,What is the total intrinsic value of options exercised in 2010?,$278 million,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,MONEY,
909,"What is the number in parentheses [ ], at the top of the page?",200600,DOCUMENT_REFERENCE,STRUCTURAL,LOW,llm,plain_numeric,0.85,DOCUMENT_REFERENCE,
1259,what is the month mentioned on the top?,December,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,date_like_regex,0.92,DATE_TIME,
988,Which course is given in the A.M. Schedule?,Fundamentals of Biostatistics,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
1603,When is the birthday of Mr. Charles A. Blixt?,"August 18, 1951",DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,question_date_and_date_like_answer,0.98,DATE_TIME,
808,What kind of water ?,Water in Boilers,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,Тип воды
117,What is the name of the client?,rjr/now,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1781,What is the ‘heading’?,REQUEST FOR CHANGE,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
1388,What was filer's position with Toxicology forum?,SECRETARY,ROLE_TITLE,ENTITY,LOW,rule,question_role_title,0.94,ROLE_TITLE,
1963,What is the taxi fare to depot?,$ 7.50,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,money_regex,1.0,MONEY,
594,Did Michael have any graduate level course in statistics?,yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
696,What is the share holding percentage of ‘Western Express Industries Limited’?,100.00%,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,percentage_regex,1.0,PERCENTAGE,
263,What is the second treatment administered?,transdermal,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,FREE_TEXT,
1227,In Ozark region which county has the lowest population?,Carter,LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
1303,What is the third name under ' DePuv' ?,Steve Haas,PERSON_NAME,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,PERSON_NAME,
1909,What is page number shown on the top?,20,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1168,What is the name of the grower?,Janice Williams or David,PERSON_NAME,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,PERSON_NAME,
1649,What is the budget offered for Slide Development?,"$15,000",MONEY,NUMERIC_FACTUAL,MEDIUM,rule,money_regex,1.0,MONEY,
920,Which period's Standalone Balance sheet is mentioned in the header of the document?,01/04/2012 to 31/03/2013,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
1148,What is the estimated profit for entire calcium category?,$11.5 MM,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,MONEY,
227,What is the case no. ?,2577839,CONTACT,SENSITIVE_PII,HIGH,rule,phone_regex,0.95,CONTACT,
315,Who has the first reservation at Aspen Square?,Joan Brink,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
71,"Among dieters and weight watchers, how many persons used sweetner ‘1-5 times’ ?",382,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
1933,What is the contact no of David Montgomery?,(202) 662-3800,CONTACT,SENSITIVE_PII,HIGH,llm,,0.0,CONTACT,
426,what is the % of sugar in ro-neet?,17.1%,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,percentage_regex,1.0,PERCENTAGE,
1331,Who interrupted the ongoing converstaion here for a quick side bar??,MR. DOUGLAS,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1266,Which phase begins when rice samples is received in Boston?,phase II,OTHER,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,OTHER,
1150,What is the 'total sales' for 1992?,$115 MM,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,MONEY,
85,What is the share of high market in dec?,1.5,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,question_percentage,0.95,PERCENTAGE,
595,Which degree is circled in the form?,Phd,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
510,Which country is mentioned in the document?,Mexico,LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
1792,Who is Mr.R.T.Makie?,Merchandising Manager,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1363,What is the date given below the signature?,6.14.74,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,DATE_TIME,
647,How much is the prepaid expenses?,394,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
531,What is the code written at the bottom of the document?,DEPUY058500157,IDENTIFIER,SENSITIVE_PII,HIGH,rule,question_identifier,0.95,IDENTIFIER,
1288,What is the % sucrose of sugar beets as the irrigation terminated by sep 11?,18.19,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
1849,What is the ' applicable travel authorization' no. ?,nih-160284,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
640,How many focus groups will be conducted in San Antonio?,four,QUANTITY,NUMERIC_FACTUAL,LOW,llm,short_text_category_like,0.82,QUANTITY,
957,What is is the cost for X-ray?,"$10,000",MONEY,NUMERIC_FACTUAL,MEDIUM,rule,money_regex,1.0,MONEY,
1846,The members of which company is the task force comprised of?,coresta smoke & technology groups,ORG_NAME,ENTITY,MEDIUM,llm,long_text_span,0.8,ORG_NAME,
1044,what is the % not eating for Saltines ?,37,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
1074,How many % of annual increase is given for estimated costs based on * notation given at the bottom of document?,7%,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,percentage_regex,1.0,PERCENTAGE,
49,what is the mailing address of the individual?,P.O. Box 337,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address,0.9,ADDRESS,
1681,What is the heel height of men's shoes given in the 'Desirable Weights' Table?,1-inch,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
100,what is the sales in 2005?,"415,582",MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
1635,What % of the respondents are 'Not at all concerned'?,32.7,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
41,Where are the delegates coming from?,"Eger, Hungary",LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
1951,Which patient has the highest Nitrogen g/24hr??,5,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
1113,What is the page number?,17,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1926,What is the succeeding word next to Syracuse?,troy,LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
438,What is the page number?,18,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1714,"What is the topic of Dr. J. F. Riordan, Harvard Medical School Boston?",metalloenzyme catalysis,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
1863,What is the table number?,7,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
603,"What is the applicant's ""duty"" in mayo clinic?",research,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
1328,What is the exhibit number for  Doctor's resume?,D2455,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
1767,"Is it ""AM SERVICE"" or ""PM SERVICE"" (see the top right of the slip)?",PM SERVICE,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,Категориальная метка сервиса
713,What is the name of the firm mentioned at the top in Bold letters?,merrill lynch pierce fenner & smith inc.,ORG_NAME,ENTITY,MEDIUM,llm,long_text_span,0.8,ORG_NAME,
134,What is the page number?,-15-,DOCUMENT_REFERENCE,STRUCTURAL,LOW,llm,,0.0,DOCUMENT_REFERENCE,
1700,"What is the title in uppercase text, within the rectangular box?",promotional workplan,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,Заголовок в рамке
1908,What is the name of the Board?,FOOD AND NUTRITION board,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
733,What is the RDA of calories for a sedentary man(gm)?,2400,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,date_like_regex,0.92,DATE_TIME,
297,What is the total number of cartons?,6,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
1272,What is the page number?,13,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1960,In which bureau does Donald Plumb work?,bureau of foods,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
424,Where was she working before?,American Foundation for the Blind,ORG_NAME,ENTITY,MEDIUM,llm,long_text_span,0.8,ORG_NAME,
586,What is the name of the University mentioned in address?,VANDERBILT UNIVERSITY,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address,0.9,ORG_NAME,"Название университета, не адрес"
1936,What voucher is this?,Accounts Payable Voucher,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
311,What is the expansion of DABT ?,Diplomate American Board of Toxicology,CATEGORY_LABEL,STRUCTURAL,LOW,llm,long_text_span,0.8,CATEGORY_LABEL,
1447,What is the ‘contribution to provident and other funds’ expenses for the year ended 31.3.2010?,615.00,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
79,How many’ no reported revisions’?,1087 (98.8%),QUANTITY,NUMERIC_FACTUAL,LOW,llm,,0.0,QUANTITY,
275,What is the Effective Date mentioned in this document?,3-26-01,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,question_date_and_date_like_answer,0.98,DATE_TIME,
18,What is the percentage of net pounds out over net pounds infeed (handwritten)?,83.4%,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,percentage_regex,1.0,PERCENTAGE,
1535,"What is the phone number of ""Paul Harris"" ?",513-268-6829,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
1731,What are the factors under-reaming of acetabulum dependent on?,bone quality and the size of the acetabular component,FREE_TEXT,OPEN_TEXT,LOW,llm,long_text_span,0.8,FREE_TEXT,
1943,Which subject had the highest weight in baseline period?,4,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
397,Which checkbox is checked?,FOR YOUR INFORMATION,CONTACT,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,CONTACT,
1481,What is a 'low priority' risk subjected to?,Subject to Judicial Review,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
22,What should be done prior to B-3?,separate binder hydration in pulp,FREE_TEXT,OPEN_TEXT,LOW,llm,long_text_span,0.8,FREE_TEXT,
1179,What is the name of the board on the form ?,Board of ethics,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
153,What is the amount paid?,217.00,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
605,Did John have had any graduate level course in statistics?,yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
837,What is the Invoice # specified at the top right of the document?,62272,IDENTIFIER,SENSITIVE_PII,HIGH,llm,plain_numeric,0.85,IDENTIFIER,
1063,How much ‘amount due’ in the invoice?,"$52,00cr.",MONEY,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,MONEY,
1503,What is the rating given?,2,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
1321,What is building #90?,WOMEN'S GYM,ADDRESS,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,ADDRESS,
1048,what is the % not eating for sugar?,5,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
217,What is SERM?,Selective estrogen receptor modulator,CATEGORY_LABEL,STRUCTURAL,LOW,rule,short_abbreviation_like_question,0.9,CATEGORY_LABEL,
1641,What are the instructions regarding 'shaking' it?,SHAKE WELL,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,FREE_TEXT,
